id,name,now_cost,position,team,starts,penalties_missed,own_goals,ep_next,influence,news,total_points,creativity_rank_type,expected_goals_conceded_per_90,influence_rank_type,goals_conceded_per_90,bonus,penalties_order,expected_goal_involvements,selected_rank_type,news_added,ict_index,value_season,expected_goals_per_90,transfers_out_event,web_name,form_rank_type,expected_assists_per_90,form,expected_assists,clean_sheets_per_90,clean_sheets,threat_rank,goals_scored,penalties_saved,minutes,threat,goals_conceded,red_cards,can_select,now_cost_rank_type,event_points,ep_this,chance_of_playing_this_round,in_dreamteam,transfers_in_event,chance_of_playing_next_round,value_form,cost_change_start,status,points_per_game_rank,cost_change_event,cost_change_start_fall,yellow_cards,transfers_in,corners_and_indirect_freekicks_order,selected_rank,ict_index_rank_type,direct_freekicks_order,influence_rank,now_cost_rank,expected_goal_involvements_per_90,creativity,points_per_game_rank_type,expected_goals,transfers_out,form_rank,region,bps,dreamteam_count,saves,saves_per_90,selected_by_percent,expected_goals_conceded,creativity_rank,cost_change_event_fall,points_per_game,assists,starts_per_90,threat_rank_type,ict_index_rank
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0,0,0.0,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0,313,0.0,313,0.0,0,,0.00,278,2024-08-29T11:06:25.241953Z,0.0,0.0,0.0,2,Fábio Vieira,309,0.0,0.0,0.00,0.0,0,687,0,0,0,0.0,0,0,False,82,0,0.0,0.0,False,0,0.0,0.0,-1,u,690,0,1,0,439,,636,313,,690,137,0.0,0.0,313,0.00,2762,683,,0,0,0,0.0,0.0,0.00,689,0,0.0,0,0.0,311,690
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,2,0,0,1.8,26.6,,10,28,0.83,37,0.68,0,,1.16,37,2024-08-25T11:00:05.312580Z,18.3,1.5,0.35,928,G.Jesus,39,0.05,0.8,0.14,0.34,1,164,0,0,264,95.0,2,0,True,15,1,1.8,100.0,False,470,100.0,0.1,-2,a,463,0,2,4,63887,,209,32,,380,32,0.4,64.5,48,1.02,231507,302,30.0,36,0,0,0.0,0.9,2.44,236,0,0.8,0,0.68,33,297
3,Gabriel dos Santos Magalhães,61,DEF,Arsenal,14,0,0,5.8,340.0,,69,49,0.96,14,0.99,7,,2.30,5,2024-11-27T10:30:06.325759Z,64.8,11.3,0.13,6225,Gabriel,11,0.04,4.8,0.54,0.38,5,60,3,0,1178,223.0,13,0,True,5,9,4.3,75.0,True,106752,100.0,0.8,1,a,23,-1,-1,1,3007297,,15,13,,44,75,0.17,84.7,2,1.76,2059011,32,30.0,244,2,0,0.0,23.0,12.59,202,1,4.9,1,1.07,3,81
4,Kai Havertz,79,FWD,Arsenal,15,0,0,4.0,287.8,,61,3,0.94,12,1.01,7,3.0,7.06,10,2024-11-07T09:00:07.112803Z,93.4,7.7,0.39,24893,Havertz,19,0.08,3.0,1.25,0.34,5,11,5,0,1333,460.0,15,0,True,5,2,4.0,100.0,False,7359,100.0,0.4,-1,a,46,0,1,2,2207891,,36,6,,76,13,0.47,186.0,14,5.81,2666156,99,80.0,216,1,0,0.0,10.1,13.94,94,0,4.1,2,1.01,5,26
5,Karl Hein,40,GKP,Arsenal,0,0,0,0.0,0.0,Loaned to Real Valladolid,0,39,0.0,61,0.0,0,,0.00,68,2024-08-14T08:31:46.556082Z,0.0,0.0,0.0,29,Hein,55,0.0,0.0,0.00,0.0,0,458,0,0,0,0.0,0,0,False,63,0,0.0,0.0,False,0,0.0,0.0,0,u,521,0,0,0,0,,559,61,,516,641,0.0,0.0,61,0.00,4023,443,,0,0,0,0.0,0.0,0.00,498,0,0.0,0,0.0,29,518
6,Jurriën Timber,57,DEF,Arsenal,13,0,0,6.8,189.0,,53,21,0.81,66,0.8,2,,1.44,20,2024-10-04T13:30:05.569185Z,51.4,9.3,0.05,6566,J.Timber,4,0.06,5.8,0.77,0.4,5,101,1,0,1130,153.0,10,0,True,9,6,6.8,100.0,False,38971,100.0,1.0,2,a,66,0,-2,3,934546,,58,30,,169,97,0.11,175.2,13,0.67,277771,18,152.0,187,1,0,0.0,7.2,10.14,103,0,3.8,1,1.04,9,124
7,Jorge Luiz Frello Filho,47,MID,Arsenal,5,0,0,2.2,30.8,,10,165,0.67,172,0.92,0,,0.35,108,,8.4,2.1,0.01,409,Jorginho,119,0.07,1.2,0.31,0.23,1,382,0,0,391,3.0,4,0,True,211,1,2.2,,False,310,,0.3,-3,a,363,0,3,3,23805,,334,177,,371,323,0.08,50.1,176,0.04,38816,238,106.0,63,0,0,0.0,0.2,2.92,268,0,1.2,0,1.15,204,357
8,Jakub Kiwior,48,DEF,Arsenal,2,0,0,3.0,49.2,,13,115,1.24,119,1.39,0,,0.03,123,,6.3,2.7,0.0,1491,Kiwior,46,0.01,2.0,0.03,0.28,1,647,0,0,323,0.0,5,0,True,37,0,3.0,,False,479,,0.4,-2,a,304,0,2,0,21677,,331,126,,345,314,0.01,13.7,96,0.00,21691,160,172.0,39,0,0,0.0,0.2,4.45,351,0,1.6,0,0.56,232,380
9,Gabriel Martinelli Silva,67,MID,Arsenal,10,0,0,2.2,218.4,,53,66,0.94,50,0.95,4,,4.26,34,2024-10-18T16:00:06.884775Z,75.8,7.9,0.24,6127,Martinelli,132,0.21,1.2,1.96,0.53,5,34,3,0,851,334.0,9,0,True,20,3,2.2,100.0,False,2254,100.0,0.2,-3,a,69,0,3,1,638514,,115,34,,143,38,0.45,205.9,32,2.30,712305,256,30.0,164,1,0,0.0,2.5,8.87,84,0,3.8,2,1.06,19,55
12,Ethan Nwaneri,45,MID,Arsenal,0,0,0,2.8,53.2,,14,178,0.61,162,0.0,0,,0.35,84,,12.5,3.1,0.13,1802,Nwaneri,86,0.17,1.8,0.20,0.0,0,257,1,0,104,41.0,0,0,True,259,1,2.8,,False,1025,,0.4,0,a,298,0,0,0,72244,,271,161,,340,428,0.3,30.6,137,0.15,52278,179,241.0,50,0,0,0.0,0.4,0.71,301,0,1.6,0,0.0,143,327
13,Martin Ødegaard,83,MID,Arsenal,9,0,0,5.4,172.2,,36,32,0.71,75,0.62,3,2.0,4.20,21,2024-09-10T00:30:06.311550Z,64.3,4.3,0.27,21714,Ødegaard,25,0.25,4.4,2.01,0.62,5,99,1,0,725,161.0,5,0,True,8,3,5.4,100.0,False,5290,100.0,0.5,-2,a,49,0,2,1,521407,3.0,67,51,1.0,188,11,0.52,308.1,20,2.19,1469392,48,161.0,157,0,0,0.0,6.0,5.75,40,0,4.0,2,1.12,64,84
15,David Raya Martin,56,GKP,Arsenal,16,0,0,5.4,351.4,,64,72,0.89,12,0.94,6,,0.01,1,2024-09-25T21:30:06.211210Z,35.2,11.4,0.0,12341,Raya,2,0.0,4.4,0.01,0.38,6,692,0,0,1440,0.0,15,0,True,1,6,5.4,100.0,False,37932,100.0,0.8,1,a,48,0,-1,2,2189056,,5,12,,36,102,0.0,0.0,8,0.00,1727646,43,200.0,233,1,40,2.5,30.9,14.27,693,0,4.0,0,1.0,72,202
16,Declan Rice,62,MID,Arsenal,14,0,0,2.8,227.2,Muscle injury - 75% chance of playing,33,17,0.87,47,1.16,2,,3.39,35,2024-12-14T22:30:07.561621Z,71.8,5.3,0.08,6010,Rice,55,0.19,2.8,2.42,0.31,4,134,0,0,1163,116.0,15,1,True,39,3,3.8,100.0,False,638,75.0,0.5,-3,d,197,0,3,3,165940,2.0,116,40,2.0,133,61,0.27,379.5,86,0.97,566074,108,241.0,206,0,0,0.0,2.5,11.24,20,0,2.4,2,1.08,88,63
17,Bukayo Saka,106,MID,Arsenal,15,0,0,8.8,516.2,,106,1,0.71,4,0.87,16,1.0,9.77,3,2024-11-10T23:00:07.191683Z,174.9,10.0,0.3,34874,Saka,5,0.4,7.8,5.60,0.43,6,4,5,0,1245,604.0,12,0,True,3,3,8.8,100.0,True,43491,100.0,0.7,6,a,3,0,-6,3,5109903,1.0,3,3,,6,4,0.7,629.8,3,4.17,3643376,5,241.0,432,4,0,0.0,44.4,9.78,1,0,7.1,11,1.08,3,3
18,William Saliba,62,DEF,Arsenal,15,0,0,8.6,316.6,,61,79,0.81,18,0.91,5,,2.54,1,2024-10-19T19:30:06.564445Z,45.4,9.8,0.13,11767,Saliba,1,0.05,7.6,0.66,0.42,6,171,2,0,1289,89.0,13,1,True,3,6,8.6,100.0,False,58365,100.0,1.2,2,a,43,0,-2,2,1801509,,6,38,,55,69,0.18,46.2,7,1.88,2817018,8,73.0,254,2,0,0.0,29.9,11.63,277,0,4.1,0,1.05,33,148
20,Thomas Partey,50,MID,Arsenal,13,0,0,4.4,277.8,,48,82,0.92,29,0.96,5,,2.14,63,2024-11-30T22:00:07.258906Z,54.1,9.6,0.09,2696,Thomas,39,0.07,3.4,0.95,0.3,4,161,2,0,1218,96.0,13,0,True,122,1,4.4,100.0,False,557,100.0,0.7,0,a,99,0,0,2,252532,,214,65,,83,197,0.16,164.4,41,1.19,215525,78,81.0,257,0,0,0.0,0.9,12.43,116,0,3.2,1,0.96,101,110
21,Kieran Tierney,43,DEF,Arsenal,0,0,0,1.0,0.0,,0,215,0.0,216,0.0,0,,0.00,196,2024-08-12T14:30:04.394338Z,0.0,0.0,0.0,92,Tierney,202,0.0,0.0,0.00,0.0,0,517,0,0,0,0.0,0,0,True,125,0,1.0,100.0,False,90,100.0,0.0,-2,a,563,0,2,0,1746,,558,216,,557,549,0.0,0.0,215,0.00,4715,499,243.0,0,0,0,0.0,0.0,0.00,547,0,0.0,0,0.0,205,559
22,Tomiyasu Takehiro,48,DEF,Arsenal,0,0,0,0.0,0.4,Knee injury - Unknown return date,1,157,0.6,163,0.0,0,,0.18,193,2024-10-18T16:00:06.930143Z,1.0,0.2,2.7,21,Tomiyasu,227,0.0,0.0,0.00,0.0,0,349,0,0,6,9.0,0,0,True,34,0,0.0,0.0,False,13,0.0,0.0,-2,i,425,0,2,0,1391,,550,155,,469,306,2.7,0.3,145,0.18,7313,629,108.0,2,0,0,0.0,0.0,0.04,440,0,1.0,0,0.0,119,454
23,Leandro Trossard,68,MID,Arsenal,10,0,0,4.6,218.4,,49,57,0.72,51,1.16,5,4.0,3.57,45,2024-11-21T08:30:08.540890Z,71.3,7.2,0.26,6010,Trossard,36,0.11,3.6,1.07,0.32,3,44,3,0,854,277.0,11,1,True,16,1,4.6,100.0,False,1168,100.0,0.5,-2,a,117,0,2,0,367076,4.0,155,41,,144,31,0.37,219.2,51,2.50,439046,72,21.0,180,1,0,0.0,1.7,6.80,73,0,3.1,2,1.05,28,64
24,Benjamin White,61,DEF,Arsenal,7,0,0,0.0,128.4,Knee injury - Unknown return date,27,67,1.28,89,0.91,0,,0.45,50,2024-11-14T13:00:07.861117Z,21.3,4.4,0.02,3126,White,233,0.04,0.0,0.32,0.39,3,283,0,0,694,29.0,7,0,True,4,0,0.0,0.0,False,49,0.0,0.0,-4,i,124,0,4,2,145201,,121,89,,238,73,0.06,55.3,34,0.13,945358,689,241.0,112,0,0,0.0,2.5,9.87,257,0,3.0,1,0.91,88,276
25,Oleksandr Zinchenko,48,DEF,Arsenal,2,0,0,0.6,22.2,Knock - 25% chance of playing,15,104,0.67,139,0.0,0,,0.14,80,2024-12-09T09:30:06.099861Z,6.7,3.1,0.02,2146,Zinchenko,64,0.03,1.4,0.08,0.77,2,300,0,0,234,21.0,0,0,True,33,0,0.6,25.0,False,14,25.0,0.3,-2,d,174,0,2,1,87317,,205,122,,392,300,0.05,23.2,51,0.06,296007,220,225.0,60,0,0,0.0,1.0,1.73,324,0,2.5,0,0.77,95,374
73,Norberto Murara Neto,42,GKP,Arsenal,2,0,0,1.0,77.8,,7,46,1.46,28,1.0,0,,0.00,30,2024-10-05T17:30:06.760449Z,7.8,1.7,0.0,841,Neto,61,0.0,0.0,0.00,0.0,0,502,0,0,180,0.0,2,0,True,36,0,1.0,100.0,False,167,100.0,0.0,-3,a,76,0,3,0,82897,,212,28,,299,574,0.0,0.0,11,0.00,229890,485,30.0,30,0,11,5.5,0.9,2.91,534,0,3.5,0,1.0,37,362
186,Raheem Sterling,67,MID,Arsenal,2,0,0,2.0,23.8,,9,172,0.87,178,0.62,0,,0.60,61,2024-11-02T15:00:07.534992Z,11.3,1.3,0.32,435,Sterling,141,0.06,1.0,0.09,0.0,0,231,0,0,144,54.0,1,0,True,18,0,2.0,100.0,False,94,100.0,0.1,-3,a,325,0,3,0,46665,,210,166,3.0,384,36,0.38,37.8,154,0.51,147708,270,241.0,24,0,0,0.0,0.9,1.39,288,0,1.5,1,1.25,128,336
578,Riccardo Calafiori,58,DEF,Arsenal,6,0,0,0.6,137.8,Groin Injury - 25% chance of playing,20,78,1.06,86,1.43,1,,0.98,77,2024-12-05T01:00:08.685840Z,29.4,3.4,0.1,3075,Calafiori,72,0.08,1.2,0.43,0.18,1,140,1,0,505,111.0,8,0,True,8,0,0.6,25.0,False,49,25.0,0.2,-2,d,181,0,2,1,194411,,190,73,,224,90,0.18,46.3,53,0.55,356397,250,106.0,77,1,0,0.0,1.3,5.93,276,0,2.5,0,1.07,18,232
597,Myles Lewis-Skelly,45,MID,Arsenal,1,0,0,1.6,11.6,,4,194,0.97,196,2.17,0,,0.06,190,2024-12-03T15:00:08.736469Z,3.0,0.9,0.0,124,Lewis-Skelly,155,0.07,0.6,0.06,1.08,1,393,0,0,83,2.0,2,0,True,258,3,1.6,100.0,False,352,100.0,0.1,0,a,351,0,0,1,8447,,499,198,,418,427,0.07,16.2,168,0.00,7781,312,241.0,20,0,0,0.0,0.1,0.89,342,0,1.3,0,1.08,207,411
633,Mikel Merino,60,MID,Arsenal,5,0,0,2.6,118.8,,21,126,0.76,107,0.96,1,,1.74,183,2024-11-30T22:00:08.239353Z,32.0,3.5,0.24,285,Merino,103,0.1,1.6,0.50,0.38,2,133,1,0,471,118.0,5,0,True,51,3,2.6,100.0,False,233,100.0,0.3,0,a,211,0,0,1,19898,,486,111,,249,79,0.34,86.0,93,1.24,16527,207,200.0,80,0,0,0.0,0.1,4.00,198,0,2.3,0,0.96,87,219
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,0,0,1.0,0.0,,0,265,0.0,261,0.0,0,,0.00,276,,0.0,0.0,0.0,21,Oulad M'hand,229,0.0,0.0,0.00,0.0,0,598,0,0,0,0.0,0,0,True,257,0,1.0,,False,10,,0.0,0,a,625,0,0,0,1885,,628,263,,618,426,0.0,0.0,265,0.00,1444,574,152.0,0,0,0,0.0,0.0,0.00,615,0,0.0,0,0.0,258,620
639,Tommy Setford,45,GKP,Arsenal,0,0,0,1.0,0.0,,0,64,0.0,72,0.0,0,,0.00,66,,0.0,0.0,0.0,62,Setford,72,0.0,0.0,0.00,0.0,0,619,0,0,0,0.0,0,0,True,19,0,1.0,,False,45,,0.0,0,a,646,0,0,0,2654,,537,72,,639,454,0.0,0.0,72,0.00,2553,598,241.0,0,0,0,0.0,0.0,0.00,636,0,0.0,0,0.0,59,641
